orden,codigo,nombre,categoria,descripcion,especificaciones,beneficios,presentacion,imagen,pdf
11,AD011,Vitamina C,aditivos,"Vitamina C (L-Ácido Ascórbico al 99%) utilizada como suplemento nutricional en camarones y peces. Puede aplicarse mezclada con el alimento o directamente en el agua, especialmente para neutralizar residuos de cloro tras la clorinación o para preservar la calidad del agua en sistemas de cultivo larvario.","Aplicación:
• Camaronera: 0.5 – 1 g/kg de alimento
• Laboratorio:
2 – 6 ppm en agua para neutralizar cloro residual
0.5 – 1 ppm en combinación con alimento para estimular el sistema inmunológico
Condiciones de almacenamiento:
• Almacenar en lugar fresco (24 °C)
• Proteger de la luz y la humedad","Estimula el sistema inmunológico de los camarones.
Neutraliza el cloro residual en el agua.
Contribuye a mantener la calidad del agua.
Mejora la salud general y la resistencia al estrés.","• Envases sellados al vacío de 1 kg
• Tambores de 25 kg",AD011_VITAMINA_C.PNG,AD011_VITAMINA_C.PDF
12,AD012,Vitamina C Monofosfatada,aditivos,"Vitamina C estabilizada (L-Ácido Ascórbico al 35%) en forma monofosfatada, diseñada para resistir altas temperaturas y proteger su actividad biológica durante el procesamiento del alimento. Recomendado para formulaciones extruidas o peletizadas gracias a su alta estabilidad y biodisponibilidad.","Análisis garantizado:
• Apariencia: Polvo blanco o amarillo
• Fórmula molecular: C₆H₈O₉P
• Peso molecular: 256.11
• Contenido de vitamina C: 35%
• pH: 7.0 – 9.5
• Pérdida al secar: < 6.0 %
Condiciones de almacenamiento:
• Mantener en lugar fresco (24 °C)
• Proteger de la luz y la humedad","Alta estabilidad térmica para procesos de granulación y extrusión.
Alta biodisponibilidad.
Proporciona protección molecular del ácido ascórbico.
Ideal para alimentos balanceados de alta temperatura.","• Envases sellados al vacío de 1 kg
• Cartones de 25 kg",AD012_VITAMINA_C_MONOFOSFATADA.PNG,AD012_VITAMINA_C_MONOFOSFATADA.PDF
13,AL001,Advance Feed,alimentos,"Dieta balanceada de alta calidad para larvas de camarón (Zoea, Mysis y PL) formulada científicamente para optimizar el desarrollo, salud y supervivencia en estadios tempranos. También es apta para larvas de peces.","ANÁLISIS GARANTIZADO
• Proteína Cruda: 50% mín.
• Grasa Cruda: 9% mín.
• Fibra Cruda: 3% máx.
• Ceniza Total: 8% máx.
• Humedad: 5% máx.
APLICACIÓN
Utilizar en fases larvarias de camarón o peces, ajustando la dosis según la etapa de desarrollo y el protocolo del laboratorio.","Alta flotabilidad y estabilidad en el agua, ideal para mantener la dieta suspendida y facilitar el consumo. Mejora la salud digestiva y aporta una coloración oscura prolongada en el hepatopáncreas e intestino. Favorece el crecimiento, vitalidad y supervivencia larval.","• Fundas de 3 kg
Almacenar en un lugar fresco, seco, bien ventilado, protegido de la luz solar y alejado de las paredes. No requiere refrigeración ni condiciones especiales de transporte.",AL001_ADVANCE_FEED.PNG,AL001_ADVANCE_FEED.PDF
14,AL002,Artemia Adulta Congelada,alimentos,"La biomasa de artemia adulta enriquecida y congelada (Artemia Frozen), está lista para ser utilizada en los laboratorios de producción de nauplios y postlarvas de camarón.

Contiene 100% artemia adulta, cosechada en el Lago Mono, en el norte de California, enriquecida con emulsiones formuladas con ingredientes marinos de alta calidad que aseguran la disponibilidad apropiada de micronutrientes esenciales tales como aminoácidos esenciales, HUFAS (ácidos grasos altamente insaturados y de cadena larga), vitaminas, minerales y pigmentos carotenoides requeridos para el desarrollo de reproductores de camarón.

El producto es congelado logrando así el propósito de hacer que en el menor tiempo se conserven intactas las propiedades y beneficios nutricionales de la artemia adulta enriquecida.","INGREDIENTES ACTIVOS
Biomasa de Artemia enriquecida con vitaminas.
ANÁLISIS GARANTIZADO
Proteína.	58% Lípidos.	13%
Ácidos grasos.	15.3 mg/g
Vitamina C.	1000 ppm
Vitamina A.	10000 IU/Kg
Vitamina E.	300 ppm
Vitamina D3.	3000 IU/Kg
Astaxantina.	250 ppm
N-3 HUFA’s.	200 mg/g
28	DHA.	2.74 mg/g","Teniendo muy seriamente en cuenta que la bioseguridad es un factor vital en la industria acuícola, certificamos que la artemia congelada esta libre de patógenos virales específicos tales como: WSSV (White Spot Syndrome Virus), IHHNV (Infectious Hypodermal and Haemotopoietic Necrosis Virus), TSV (Taura Syndrome Virus), YHV (Yellow Head Virus).","PRESENTACIÓN Y ALMACENAMIENTO
Fundas de 1 kg. Almacenar a -18°C. Este producto debe de ser protegido de humedad, contaminación y luz del sol. Seguro para el uso indicado, mantener fuera del alcance de los niños.
APLICACIÓN
•        Para maduración en etapa de reproducción se puede sugerir en el rango del 3 - 8 % de la biomasa de camarón P. Vannamei en el tanque; el porcentaje total que se utilice puede ser dividido en dos dosis en el día.
•        Se recomienda ajustar diariamente los porcentajes de alimentos a la saciedad de sus reproductores.
•        En el área de larvicultura, la utilización de artemia enriquecida se complementa muy bien a los regímenes dietéticos conocidos desde los estadíos postlarvales (PL4- PL5 en adelante).",AL002_ARTEMIA_ADULTA_CONGELADA.PNG,AL002_ARTEMIA_ADULTA_CONGELADA.PDF
15,AL003,Brine Shrimp Flake,alimentos,"Dieta en hojuelas desarrollada en EE. UU., diseñada para complementar alimentos naturales y otras dietas larvales. Elaborada con ingredientes naturales de alta calidad, incluyendo un elevado contenido de Artemia. Enriquecida con vitaminas, minerales y aminoácidos esenciales para lograr alta supervivencia y crecimiento acelerado en larvas de camarón.","Análisis garantizado:
• Proteína cruda: mínimo 50.0%
• Grasa cruda: mínimo 13.0%
• Fibra cruda: máximo 3.0%
• Humedad: máximo 10.0%
• Ceniza: máximo 10.0%
• Fósforo: mínimo 1.1%
Ingredientes activos:
• Proteínas animales marinas
• Proteínas vegetales
• Levaduras
• Aceites vegetales y de pescado
• Almidones vegetales
• Premezclas de vitaminas y minerales
• Antioxidantes
• Pigmentos
• Aglutinantes biodegradables","Alta atractabilidad y óptima digestibilidad
Favorece una muda saludable y mejora la supervivencia
Enriquecido con Vpak (Vitality Pak) para reforzar la resistencia a enfermedades
Promueve el rápido crecimiento y desarrollo en etapas de Mysis a Postlarval (PL)
Mejora la coloración del tracto digestivo en Penaeus vannamei
Contiene Artemia y calamar de calidad superior
Incluye minerales traza proteinados y conservantes para mayor estabilidad y vida útil","• Baldes de 10 kg
• Mantiene su valor nutritivo hasta por 1 año desde su fabricación
• Almacenar en lugar fresco (22 °C), seco, ventilado y protegido de la luz solar
• No requiere refrigeración ni condiciones especiales de transporte",AL003_BRINE_SHRIMP_FLAKE.PNG,AL003_BRINE_SHRIMP_FLAKE.PDF
16,AL004,Calamares,alimentos,"La alimentación es de fundamental importancia en el proceso de maduración y reproducción.

Dentro de los compuestos fundamentales en la dieta se encuentran los ácidos grasos de la serie linolénica (W3, de origen marino), colesterol y sus derivados aportados por la dieta del calamar. Nuestro calamar (Loligo opalescens) proviene del mar de California, EEUU, es capturado y enfriado por aire sin aditivos ni preservantes. Libres de WSSV, TSV, NHP, IHHNV, Vibrios,","ANÁLISIS GARANTIZADO
Proteína.        16% Humedad        80%
Grasa.        1.2 gramos
Carbohidratos.        4 gramos
Sodio.        298 mg
Calorías.        140
Grasa corporal 7mm- w3 PERFIL DE ÁCIDOS GRASOS Monoinsaturados.        5.4%
Poliinsaturados.        59.50%",Por ser un producto de alta calidad puede ser usado como carnada para la actividad de pesca deportiva e industrial. En ciertos casos se utilizan algunos de estos alimentos naturales suplementados con dietas peletizadas como EZ mate y Redimate.,"PRESENTACIÓN Y ALMACENAMIENTO
•        Bloques congelados de 10kg.
•        Debe almacenarse bajo condiciones de congelamiento a -18°C. Este producto debe de ser protegido de humedad, contaminación y luz del sol.
APLICACIÓN
La alimentación se realizará sin restricciones, que podrá consistir en una dieta natural combinada de krill, calamar, artemia congelada y mejillón. El calamar se sugiere suministrar diariamente en cantidades que van de 17 a 20% de la biomasa del tanque, repartida en 2 a 4 raciones diarias.",AL004_CALAMARES.PNG,AL004_CALAMARES.PDF
17,AL005,Cistos de Artemia,alimentos,"Quistes de Artemia franciscana cosechados en el Gran Lago Salado de Utah, EE.UU., con altos estándares de calidad y tecnología de procesamiento. Pueden usarse hidratados o decapsulados, según necesidad.","ANÁLISIS GARANTIZADO
• Proteína Cruda: 54% mín.
• Grasa Cruda: 14.2% mín.
• Fibra Cruda: 27.3% máx.
• Humedad: 3.6% máx.
APLICACIÓN
Utilizar según requerimientos del laboratorio, como alimento vivo luego de su eclosión. Puede aplicarse como quiste hidratado o decapsulado, según conveniencia y etapa larvaria.","Producto bioseguro, de alto valor nutricional, ideal para alimentación larvaria por su pequeño tamaño de nauplio, excelente digestibilidad y fácil manipulación.","• Latas selladas al vacío de 454g
• Baldes sellados al vacío de 7kg
Almacenar en un lugar fresco, seco, bien ventilado y alejado de la luz solar. No requiere refrigeración mientras esté sellado.",AL005_CISTOS_DE_ARTEMIA.PNG,AL005_CISTOS_DE_ARTEMIA.PDF
18,AL006,Espirulina,alimentos,"La Espirulina Mackay Marine es una microalga azul verdosa comestible (Arthrospira platensis), cultivada y procesada en EE.UU. Se presenta en forma de polvo fino con un alto contenido nutricional. Ideal como ración o aditivo para el cultivo de larvas de camarón, larvas de peces y artemia.","Análisis garantizado (por cada 100g):
Proteína cruda (mínima): 60–70%
Carbohidratos (mínima): 15–20%
Grasa cruda (máxima): 6–8%
Fibra cruda (máxima): 8–10%
Minerales (máxima): 7–10%
Humedad (máxima): 3–7%
Ácidos grasos:
Ácido linoleico: 10 mg
Ácido gamma-linolénico (GLA): 20 mg
Pigmentos (por 100g):
Ficocianina (azul): 150 mg
Clorofila (verde): 11 mg
Carotenoides: 3.5 mg
Características físicas:
Polvo fino color azul verdoso oscuro
Compuesto 100% de Espirulina
Densidad: 0.45–0.60 (en agua)
Ingrediente activo:
Arthrospira platensis","Aumenta la fertilidad y la reproducción en cultivos acuáticos

Mejora el crecimiento y peso de larvas de camarón, peces y artemia

Estimula el apetito

Mejora la coloración natural de diversas especies acuáticas

Fuente natural de proteínas, vitaminas y pigmentos bioactivos","Presentaciones:

Spirulina Microfina: Lata de 500 g (sellada al vacío)

Spirulina Regular: Funda de 1 kg

Condiciones de almacenamiento:

Guardar en lugar fresco y seco

No exceder los 70°F (21°C)",AL006_ESPIRULINA.PNG,AL006_ESPIRULINA.PDF
19,AL007,EZ Artemia (Microencapsulados),alimentos,"Dieta líquida microencapsulada formulada por Zeigler Bros. Inc. (EE. UU.) como un sustituto balanceado y bioseguro de los nauplios de Artemia. Diseñada para proporcionar valor nutricional, sabor, textura y pigmentación similares a la Artemia viva, asegurando una alta digestibilidad, crecimiento acelerado y bioseguridad en el cultivo de larvas de camarón.","Análisis garantizado – peso seco:
• Proteína cruda: mínimo 52%
• Grasa cruda: mínimo 17%
• Fibra cruda: máximo 3.7%
• Humedad: 0%
• Fósforo: máximo 0.6%
Análisis garantizado – peso líquido:
• Proteína cruda: mínimo 14%
• Grasa cruda: mínimo 4.5%
• Fibra cruda: máximo 1%
• Humedad: máximo 73%
• Fósforo: máximo 0.1%
Ingredientes genéricos:
• Proteínas marinas y vegetales
• Subproductos de granos procesados
• Lecitina
• Minerales y vitaminas
• Conservantes, probióticos y levaduras
• Estabilizantes y pigmentos","Sustituye eficazmente a los nauplios de Artemia
Producto líquido, microencapsulado, altamente energético y balanceado
Mejora la digestibilidad gracias a enzimas y extracto de artemia
Libre de bacterias y virus
Estimula el crecimiento y la resistencia al Vibrio y otras enfermedades
No contamina el agua
Puede refrigerarse (no congelar)","Envases de 2 kg
• Almacenar en lugar fresco, seco y ventilado
• No exponer a la luz solar ni a fuentes de calor
• No requiere refrigeración si está en su envase sellado
• Agitar antes de usar",AL007_EZ_ARTEMIA_Microencapsulados.png,AL007_EZ_ARTEMIA_Microencapsulados.PDF
20,AL008,EZ Artemia Ultra (Microencapsulados),alimentos,"Dieta líquida microencapsulada de nueva generación, formulada en EE. UU. para superar el perfil nutricional de la Artemia enriquecida. EZ Artemia Ultra ofrece una composición de nutrientes estable, biosegura y libre de patógenos, lo que la convierte en una alternativa confiable frente a la variabilidad de la Artemia tradicional. Su diseño garantiza alta digestibilidad, mejor salud intestinal y un óptimo rendimiento larvario.","Análisis garantizado – peso líquido:
• Proteína cruda: mínimo 12% (45% en peso seco)
• Grasa cruda: mínimo 4.5% (45% en peso seco)
• Fibra cruda: máximo 1.0%
• Humedad: máximo 73.0%
• Fósforo: mínimo 0.1%
• Ceniza: mínimo 6.5%
Ingredientes:
• Proteínas animales marinas
• Proteínas vegetales (incluidas algas)
• Levadura
• Aceites de pescado y vegetales
• Almidones vegetales
• Minerales y vitaminas
• Antioxidantes, pigmentos y aglutinantes biodegradables","Mayor densidad y digestibilidad de nutrientes
Microencapsulación mejorada para mayor estabilidad en la columna de agua
Formulación precisa con proteínas y aceites marinos de alta calidad
Proporciona resultados consistentes y bioseguros
Contiene probióticos mejorados para promover salud intestinal y calidad del agua
Mejor rendimiento larvario comprobado en ensayos
Distribución optimizada del tamaño de partícula","Envases de 2 kg
• Almacenar en lugar fresco y seco (22 °C / 72 °F)
• No congelar
• Una vez abierto, utilizar en un plazo de 4 semanas
• Mantener el envase tapado después de cada uso",AL008_EZ_ARTEMIA_ULTRA_Microencapsulados.png,AL008_EZ_ARTEMIA_ULTRA_Microencapsulados.PDF
21,AL009,EZ Larva (Microencapsulados),alimentos,"Dieta líquida microencapsulada desarrollada por Zeigler Bros. Inc. (EE. UU.) para larvas de camarón. Formulada como una ración balanceada, con partículas suaves y húmedas que facilitan el consumo. Producida mediante un proceso en frío para preservar nutrientes sensibles como pigmentos, ácidos grasos Omega-3 y enzimas. Su fórmula es biosegura, con resultados negativos frente a patógenos como WSSV (Mancha Blanca), EMS y otros virus.","Análisis garantizado – peso seco:
• Proteína cruda: mínimo 36.7%
• Grasa cruda: mínimo 20%
• Fibra cruda: máximo 3.3%
• Humedad: 0%
• Fósforo: mínimo 0.7%
Análisis garantizado – peso líquido:
• Proteína cruda: mínimo 11%
• Grasa cruda: mínimo 6%
• Fibra cruda: máximo 1%
• Humedad: máximo 70%
• Fósforo: mínimo 0.2%","Dieta microencapsulada de alta atracción y palatabilidad
No afecta la calidad del agua; minimiza la lixiviación
Estimula la alimentación activa y el crecimiento larvario
Contiene enzimas que mejoran la digestibilidad
Incluye inmunoestimulantes para fortalecer el sistema inmune
Proporciona energía y nutrición equilibrada","Envases de 2 kg
• Almacenar en lugar fresco y seco (22 °C / 72 °F)
• No congelar
• Una vez abierto, usar en un máximo de 4 semanas
• Mantener el envase cerrado después de cada uso",AL009_EZ_LARVA_Microencapsulados.png,AL009_EZ_LARVA_Microencapsulados.PDF
22,AL010,EZ Mate,alimentos,"Dieta en polvo para maduración de camarones elaborada por Zeigler Bros. Inc. (EE. UU.), diseñada para estimular una mayor eficiencia reproductiva en sistemas de maduración, mejorando la producción de nauplios saludables y fortaleciendo el desempeño reproductivo en cada desove.","Análisis garantizado:
• Proteína cruda: mínimo 55%
• Grasa cruda: mínimo 12%
• Fibra cruda: máximo 3%
• Ceniza: máximo 13%
• Fósforo: mínimo 1.1%
• Humedad: máximo 10%","Mejora la eficiencia de la maduración
Estimula la producción de nauplios saludables
Favorece la fertilidad y copulación
Alto contenido de astaxantina, colesterol, vitamina C y HUFAs
Alternativa eficaz a alimentos frescos como poliquetos, calamar o biomasa de artemia","• Latas de 500 g (polvo seco)
• Almacenar en un lugar fresco, seco, ventilado, alejado de la luz solar y de las paredes
• Una vez abierta la lata, refrigerar y consumir antes de tres meses
• No requiere condiciones especiales de transporte
• Mantener fuera del alcance de los niños",AL010_EZ_MATE.PNG,AL010_EZ_MATE.PDF
23,AL011,Flake Negro de Artemia,alimentos,"Dieta premium en hojuelas formulada para el óptimo desarrollo y sobrevivencia de larvas de camarón, especialmente eficaz durante los estadios de Mysis y Postlarva (PL). También puede utilizarse en larvas de peces. Su fórmula nutricionalmente balanceada proporciona proteínas, vitaminas y minerales esenciales para una salud robusta y crecimiento acelerado.","ANÁLISIS GARANTIZADO
• Proteína Cruda: 45% mín.
• Grasa Cruda: 9% mín.
• Fibra Cruda: 3% máx.
• Ceniza Total: 8% máx.
• Humedad: 10% máx.
INGREDIENTES ACTIVOS
Proteína animal marina, extracto de levaduras, colesterol, vitaminas, minerales, lecitina y antioxidantes.","• Alta atractabilidad, palatabilidad y digestibilidad.
• Gran estabilidad y flotabilidad en la columna de agua.
• Proporciona una coloración oscura prolongada en el hepatopáncreas e intestino.
• Apoya una salud integral y mejora la vitalidad de las larvas.","Baldes de 5 kg
Almacenar en un lugar fresco, seco, bien ventilado y protegido de la luz solar. No requiere refrigeración ni condiciones especiales de transporte. Mantener fuera del alcance de los niños.",AL011_FLAKE_NEGRO_DE_ARTEMIA.PNG,AL011_FLAKE_NEGRO_DE_ARTEMIA.PDF
