ID,Numero,Codigo_Producto,Nombre,Categoria,Subcategoria,Slug,Imagen,PDF_Ficha,Descripcion_Corta,Descripcion_Larga,Marca,Disponibilidad,Destacado,Tags,Beneficios,Presentacion,Especificaciones,Palabras_Clave,Fecha_Actualizacion
"11","11","AD010","SAPONINA","aditivos","Surfactantes","saponina","/assets/images/productos/aditivos/AD010.png","/assets/pdfs/productos/aditivos/AD010_SAPONINA_ficha.pdf","Surfactante natural para mejorar digestibilidad.","Surfactante natural derivado de plantas, utilizado para mejorar la digestibilidad y absorción de nutrientes en camarones. Facilita la emulsificación de grasas y mejora la eficiencia alimentaria.","PRILABSA","InStock","false","aditivos; acuicultura; prilabsa; surfactantes","Mejora la digestibilidad de grasas; Aumenta la absorción de nutrientes; Mejora la eficiencia alimentaria; Origen natural y seguro","Bolsas de 1 kg; Conservar en lugar fresco y seco","Saponinas totales: mínimo 60%; Humedad: máximo 10%; Dosis recomendada: 0.5-1 g/kg de alimento","aditivos; surfactantes; camarones; acuicultura; prilabsa","2025-01-15T10:00:00.000Z"
"12","12","AD011","VEVOVITALL","aditivos","Multivitamínicos","vevovitall","/assets/images/productos/aditivos/AD011.png","/assets/pdfs/productos/aditivos/AD011_VEVOVITALL_ficha.pdf","Complejo multivitamínico completo para camarones.","Complejo multivitamínico completo diseñado para cubrir todas las necesidades vitamínicas de camarones en cultivo. Formulación balanceada que asegura un crecimiento óptimo y salud general.","PRILABSA","InStock","false","aditivos; acuicultura; prilabsa; multivitaminicos","Cobertura completa de vitaminas esenciales; Mejora el crecimiento y desarrollo; Fortalece el sistema inmunológico; Optimiza la conversión alimentaria","Envases de 1 kg; Conservar en lugar fresco y seco","Vitamina A: mínimo 3,000,000 UI/kg; Vitamina D3: mínimo 800,000 UI/kg; Vitamina E: mínimo 15,000 UI/kg; Vitamina C: mínimo 50,000 mg/kg","aditivos; multivitaminicos; camarones; acuicultura; prilabsa","2025-01-15T10:00:00.000Z"
"13","13","AD013","VITAMINA C","aditivos","Antioxidantes","vitamina-c","/assets/images/productos/aditivos/AD013.png","/assets/pdfs/productos/aditivos/AD013_VITAMINA_C_ficha.pdf","Vitamina C pura para fortalecer el sistema inmunológico.","Vitamina C pura (ácido ascórbico) para fortalecer el sistema inmunológico y actuar como antioxidante natural en camarones. Esencial para la síntesis de colágeno y la resistencia al estrés.","PRILABSA","InStock","false","aditivos; acuicultura; prilabsa; antioxidantes","Potente antioxidante natural; Fortalece el sistema inmunológico; Mejora la resistencia al estrés; Esencial para síntesis de colágeno","Bolsas de 1 kg; Conservar en lugar fresco, seco y protegido de la luz","Ácido ascórbico: mínimo 99%; Humedad: máximo 0.5%; Dosis recomendada: 100-200 mg/kg de alimento","aditivos; antioxidantes; camarones; acuicultura; prilabsa","2025-01-15T10:00:00.000Z"
"14","14","AL001","LARVA Z - PLUS (Microparticulados)","alimentos","Microparticulados","larva-z-plus-microparticulados","/assets/images/productos/alimentos/AL001.png","/assets/pdfs/productos/alimentos/AL001_LARVA_Z_-_PLUS_Microparticulados_ficha.pdf","Dieta especializada para larvas y postlarvas de camarón con micropartículas semiflotantes.","Dieta especializada para larvas y postlarvas de camarón desarrollada por Zeigler Bros. Inc. (EE. UU.). Su formulación balanceada incluye ingredientes de alta calidad para promover el crecimiento, el desarrollo saludable y la resistencia inmunológica en etapas tempranas del cultivo.","PRILABSA","InStock","true","alimentos; acuicultura; prilabsa; microparticulados","Micropartículas de hundimiento lento para mejor absorción en la columna de agua; Altos niveles de ácidos grasos insaturados (HUFA) para favorecer el desarrollo larval; Contiene Vpak para estimular el sistema inmunológico; Promueve el crecimiento eficiente y la supervivencia de larvas y postlarvas","Latas de 500g; Almacenar en lugar fresco, seco, ventilado; Latas abiertas: conservar cerradas a 20°C o menos","Proteína cruda: mínimo 50%; Grasa cruda: mínimo 15%; Fibra cruda: máximo 2%; Ceniza cruda: máximo 8%; Humedad: máximo 12%; Fósforo: máximo 0.9%","microparticulados; camarones; acuicultura; prilabsa; alimentos","2025-07-19T17:20:19.681410"
"15","15","AL002","LARVA AP 100 (Microparticulados)","alimentos","Microparticulados","larva-ap-100-microparticulados","/assets/images/productos/alimentos/AL002.png","/assets/pdfs/productos/alimentos/AL002_LARVA_AP_100_Microparticulados_ficha.pdf","Dieta granulada e hidroestable en micropartículas finas para camarones.","Dieta granulada e hidroestable en micropartículas finas, científicamente formulada por Zeigler Bros. Inc. (EE. UU.) para la alimentación de camarones en estadios larvales y postlarvales. Ofrece una nutrición balanceada y de alta digestibilidad, ideal para cultivos intensivos en laboratorio.","PRILABSA","InStock","false","alimentos; acuicultura; prilabsa; microparticulados","Alta atractabilidad y digestibilidad; Contiene niveles óptimos de ácidos grasos insaturados (HUFA); Mejora el rendimiento y la salud en las primeras etapas de vida del camarón; Estabilidad en agua, ideal para alimentación en sistemas larvarios","Latas de 500 g; Almacenar en lugar fresco, seco, ventilado y alejado de la luz solar y paredes; Latas abiertas: conservar cerradas a 20 °C o menos","Proteína cruda: 50% mín.; Grasa cruda: 12% mín.; Fibra cruda: 2.5% máx.; Ceniza total: 15% máx.; Humedad: 10% máx.; Fósforo: 1.3% mín.","microparticulados; camarones; acuicultura; prilabsa; alimentos","2025-07-19T17:20:19.673340"
"16","16","AL003","Z PRO (Microparticulados)","alimentos","Microparticulados","z-pro-microparticulados","/assets/images/productos/alimentos/AL003.png","/assets/pdfs/productos/alimentos/AL003_Z_PRO_Microparticulados_ficha.pdf","Dieta premium para camarones desde fase Zoea hasta Postlarval.","Dieta premium desarrollada por Zeigler Bros. Inc. (EE. UU.), formulada específicamente para la alimentación de camarones desde la fase Zoea (Z) hasta Postlarval (PL). Diseñada para promover un rápido crecimiento y fortalecer el sistema inmunológico, manteniendo la calidad del agua y optimizando la eficiencia proteica en sistemas de cultivo larvario.","PRILABSA","InStock","false","alimentos; acuicultura; prilabsa; microparticulados","Alta digestibilidad y atractabilidad por su base de proteínas marinas; Mejora el crecimiento y salud larval; Contiene Vpak (Vitality Pak) para aumentar la resistencia a enfermedades; Optimiza el uso proteico sin comprometer la calidad del agua; Empaque con nitrógeno para asegurar estabilidad y seguridad del producto","Z PRO 150: Latas de 500 g envasadas con nitrógeno; Z PRO 250 y 350: Fundas de 4 kg envasadas con nitrógeno; Conservar en lugar fresco (22 °C), seco, ventilado y sin exposición directa al sol","Proteína cruda: 44% mín.; Grasa cruda: 8.0% mín.; Fibra cruda: 2.0% máx.; Humedad: 12.0% máx.; Ceniza: 13.0% máx.; Fósforo: 1.0% mín.","microparticulados; camarones; acuicultura; prilabsa; alimentos","2025-07-19T17:20:19.675065"
"17","17","AL004","EZ ARTEMIA (Microencapsulados)","alimentos","Microencapsulados","ez-artemia-microencapsulados","/assets/images/productos/alimentos/AL004.png","/assets/pdfs/productos/alimentos/AL004_EZ_ARTEMIA_Microencapsulados_ficha.pdf","Dieta líquida microencapsulada sustituto de nauplios de Artemia.","Dieta líquida microencapsulada formulada por Zeigler Bros. Inc. (EE. UU.) como un sustituto balanceado y bioseguro de los nauplios de Artemia. Diseñada para proporcionar valor nutricional, sabor, textura y pigmentación similares a la Artemia viva, asegurando una alta digestibilidad, crecimiento acelerado y bioseguridad en el cultivo de larvas de camarón.","PRILABSA","InStock","false","alimentos; acuicultura; prilabsa; microencapsulados","Sustituye eficazmente a los nauplios de Artemia; Objecto líquido, microencapsulado, altamente energético y balanceado; Mejora la digestibilidad gracias a enzimas y extracto de artemia; Libre de bacterias y virus; Estimula el crecimiento y la resistencia al Vibrio y otras enfermedades; No contamina el agua","Envases de 2 kg; Almacenar en lugar fresco, seco y ventilado; No exponer a la luz solar ni a fuentes de calor; Agitar antes de usar","Proteína cruda (peso seco): 52% mín.; Grasa cruda (peso seco): 17% mín.; Fibra cruda (peso seco): 3.7% máx.; Proteína cruda (peso líquido): 14% mín.; Grasa cruda (peso líquido): 4.5% mín.; Humedad: 73% máx.; Fósforo: 0.1% máx.","microencapsulados; camarones; acuicultura; prilabsa; alimentos","2025-07-19T17:20:19.685738"
"18","18","AL005","EZ ARTEMIA ULTRA (Microencapsulados)","alimentos","Microencapsulados","ez-artemia-ultra-microencapsulados","/assets/images/productos/alimentos/AL005.png","/assets/pdfs/productos/alimentos/AL005_EZ_ARTEMIA_ULTRA_Microencapsulados_ficha.pdf","Dieta líquida microencapsulada de nueva generación.","Dieta líquida microencapsulada de nueva generación, formulada en EE. UU. para superar el perfil nutricional de la Artemia enriquecida. EZ Artemia Ultra ofrece una composición de nutrientes estable, biosegura y libre de patógenos, lo que la convierte en una alternativa confiable frente a la variabilidad de la Artemia tradicional.","PRILABSA","InStock","false","alimentos; acuicultura; prilabsa; microencapsulados","Mayor densidad y digestibilidad de nutrientes; Microencapsulación mejorada para mayor estabilidad en la columna de agua; Formulación precisa con proteínas y aceites marinos de alta calidad; Proporciona resultados consistentes y bioseguros; Contiene probióticos mejorados para promover salud intestinal y calidad del agua; Mejor rendimiento larvario comprobado en ensayos","Envases de 2 kg; Almacenar en lugar fresco y seco (22 °C / 72 °F); No congelar; Una vez abierto, utilizar en un plazo de 4 semanas","Proteína cruda (peso líquido): 12% mín.; Proteína cruda (peso seco): 45% mín.; Grasa cruda (peso líquido): 4.5% mín.; Grasa cruda (peso seco): 45% mín.; Fibra cruda: 1.0% máx.; Humedad: 73.0% máx.; Fósforo: 0.1% mín.; Ceniza: 6.5% mín.","microencapsulados; camarones; acuicultura; prilabsa; alimentos","2025-07-19T17:20:19.679451"
"19","19","AL007","BRINE SHRIMP FLAKE","alimentos","Microparticulados","brine-shrimp-flake","/assets/images/productos/alimentos/AL007.png","/assets/pdfs/productos/alimentos/AL007_BRINE_SHRIMP_FLAKE_ficha.pdf","Dieta en hojuelas con alto contenido de Artemia para larvas.","Dieta en hojuelas desarrollada en EE. UU., diseñada para complementar alimentos naturales y otras dietas larvales. Elaborada con ingredientes naturales de alta calidad, incluyendo un elevado contenido de Artemia. Enriquecida con vitaminas, minerales y aminoácidos esenciales para lograr alta supervivencia y crecimiento acelerado en larvas de camarón.","PRILABSA","InStock","false","alimentos; acuicultura; prilabsa; microparticulados","Alta atractabilidad y óptima digestibilidad; Favorece una muda saludable y mejora la supervivencia; Enriquecido con Vpak (Vitality Pak) para reforzar la resistencia a enfermedades; Promueve el rápido crecimiento y desarrollo en etapas de Mysis a Postlarval (PL); Mejora la coloración del tracto digestivo en Penaeus vannamei; Contiene Artemia y calamar de calidad superior; Incluye minerales traza proteinados y conservantes para mayor estabilidad y vida útil","Baldes de 10 kg; Mantiene su valor nutritivo hasta por 1 año desde su fabricación; Almacenar en lugar fresco (22 °C), seco, ventilado y protegido de la luz solar","Proteína cruda: mínimo 50.0%; Grasa cruda: mínimo 13.0%; Fibra cruda: máximo 3.0%; Humedad: máximo 10.0%; Ceniza: máximo 10.0%; Fósforo: mínimo 1.1%","microparticulados; larvas; camarones; acuicultura; prilabsa; alimentos","2025-07-19T17:20:19.681410"
"20","20","AL008","SHRIMP MEAL STARTER 55-15","alimentos","Microparticulados","shrimp-meal-starter-55-15","/assets/images/productos/alimentos/AL008.png","/assets/pdfs/productos/alimentos/AL008_SHRIMP_MEAL_STARTER_55-15_ficha.pdf","Dieta para raceways y pre-cría de camarones con alta nutrición.","Dieta desarrollada por Zeigler Bros. Inc. (EE. UU.) para raceways y pre-cría de camarones. Se trata de un alimento altamente nutricional, diseñado para favorecer un crecimiento rápido y una aclimatación eficiente de las postlarvas durante su siembra.","PRILABSA","InStock","false","alimentos; acuicultura; prilabsa; microparticulados","Altos niveles de HUFA (Ácidos Grasos Altamente Insaturados) de origen marino; Reservas nutricionales de rápida disponibilidad que favorecen la aclimatación en siembra; Mejora la tasa de supervivencia al ofrecer un perfil nutricional completo; Micropartículas libres de bacterias patógenas; Óptima digestibilidad que favorece el crecimiento en estadios tempranos de postlarva","Baldes de 16.3 kg y sacos de 20 kg; Vida útil de hasta 24 meses desde la fecha de fabricación; Almacenar en lugar fresco, seco y bien ventilado, protegido de la luz solar","Proteína cruda: mínimo 55%; Grasa cruda: mínimo 15%; Fibra cruda: máximo 2%; Humedad: máximo 10%; Ceniza: máximo 12%; Fósforo: mínimo 1.3%","microparticulados; camarones; acuicultura; prilabsa; alimentos","2025-07-19T17:20:19.681410"
"21","21","AL009","PRE-MIX PL RACEWAY 40-9","alimentos","General","pre-mix-pl-raceway-40-9","/assets/images/productos/alimentos/AL009.png","/assets/pdfs/productos/alimentos/AL009_PRE-MIX_PL_RACEWAY_40-9_ficha.pdf","Mini pellet para post-larvas en transición a estanques.","Mini pellet formulado especialmente para post-larvas de camarón Penaeus vannamei durante su transición de criaderos controlados a estanques o piscinas con menor productividad primaria. Elaborado por Zeigler Bros. Inc. (EE. UU.), este alimento busca mejorar la aclimatación, crecimiento y supervivencia en los primeros 30 a 45 días de cultivo intensivo.","PRILABSA","InStock","false","alimentos; acuicultura; prilabsa; general","Alto contenido de HUFAs (ácidos grasos altamente insaturados) de origen marino de alta calidad; Mejora el rendimiento zootécnico y la calidad del agua; Permite alimentación de precisión por su variedad de tamaños de partícula; Facilita la aclimatación y mejora la supervivencia de las post-larvas","Sacos de 20 kg; Vida útil de hasta 24 meses desde la fecha de fabricación; Almacenar en lugar fresco, seco, bien ventilado y protegido de la luz solar","Proteína cruda: mínimo 40%; Grasa cruda: mínimo 9%; Fibra cruda: máximo 3%; Humedad: máximo 10%; Ceniza: máximo 13%; Fósforo: mínimo 1.1%","general; camarones; acuicultura; prilabsa; alimentos","2025-07-19T17:20:19.681410"
"22","22","AL010","EZ MATE","alimentos","General","ez-mate","/assets/images/productos/alimentos/AL010.png","/assets/pdfs/productos/alimentos/AL010_EZ_MATE_ficha.pdf","Dieta en polvo para maduración de camarones.","Dieta en polvo para maduración de camarones elaborada por Zeigler Bros. Inc. (EE. UU.), diseñada para estimular una mayor eficiencia reproductiva en sistemas de maduración, mejorando la producción de nauplios saludables y fortaleciendo el desempeño reproductivo en cada desove.","PRILABSA","InStock","false","alimentos; acuicultura; prilabsa; general","Mejora la eficiencia de la maduración; Estimula la producción de nauplios saludables; Favorece la fertilidad y copulación; Alto contenido de astaxantina, colesterol, vitamina C y HUFAs; Alternativa eficaz a alimentos frescos como poliquetos, calamar o biomasa de artemia","Latas de 500 g (polvo seco); Almacenar en un lugar fresco, seco, ventilado, alejado de la luz solar; Una vez abierta la lata, refrigerar y consumir antes de tres meses","Proteína cruda: mínimo 55%; Grasa cruda: mínimo 12%; Fibra cruda: máximo 3%; Ceniza: máximo 13%; Fósforo: mínimo 1.1%; Humedad: máximo 10%","general; camarones; acuicultura; prilabsa; alimentos","2025-07-19T17:20:19.681410"
"23","23","AL011","REDI-MATE","alimentos","General","redi-mate","/assets/images/productos/alimentos/AL011.png","/assets/pdfs/productos/alimentos/AL011_REDI-MATE_ficha.pdf","Dieta semi-húmeda para maduración de camarones peneidos.","Redi-Mate es una dieta semi-húmeda de alta calidad, especialmente formulada para la maduración de camarones peneidos. Mejora significativamente los índices reproductivos, incrementa la producción de nauplios viables y fortalece la bioseguridad del sistema. Contiene Vpak (Vitality Pak) para reforzar la salud y resistencia inmunológica del animal.","PRILABSA","InStock","false","alimentos; acuicultura; prilabsa; general","Mejora la eficiencia reproductiva del camarón al aumentar la cantidad y calidad de nauplios; Alta palatabilidad, bioseguridad y aporte balanceado de nutrientes esenciales como HUFAs, astaxantina y vitaminas; Su formulación semi-húmeda reduce el uso de alimento fresco; Mejora la salud gonadal y es compatible con alimentadores automáticos; Asegura mejores resultados en maduración","Pellet semi-húmedo en baldes de 15 kg y fundas de 5 kg; Vida útil: Hasta 2 años desde la fecha de fabricación; Almacenar en un lugar fresco, seco, ventilado y protegido de la luz solar","Proteína cruda: mínimo 40.0%; Grasa cruda: mínimo 9.0%; Fibra cruda: máximo 2.0%; Humedad: máximo 30.0%; Ceniza: máximo 10.0%; Fósforo: mínimo 1.0%","general; camarones; acuicultura; prilabsa; alimentos","2025-07-19T17:20:19.681410"
"24","24","AL013","MPs (Microparticulados)","alimentos","Microparticulados","mps-microparticulados","/assets/images/productos/alimentos/AL013.png","/assets/pdfs/productos/alimentos/AL013_ficha.pdf","Alimento microparticulado de alta calidad para larvas.","Alimento microparticulado de alta calidad para larvas de camarón y peces. Su formulación nutricional completa, con excelente estabilidad y flotabilidad, está diseñada para maximizar la salud, crecimiento y sobrevivencia en las primeras etapas de desarrollo.","PRILABSA","InStock","false","alimentos; acuicultura; prilabsa; microparticulados","Proporciona una dieta balanceada que estimula el crecimiento, la vitalidad y una coloración oscura prolongada en el hepatopáncreas e intestino; Su permanencia en la columna de agua permite un mejor aprovechamiento por parte de las larvas; Formulación nutricional completa con excelente estabilidad y flotabilidad","Latas de 500g; Baldes de 4kg; Almacenar en un lugar fresco, seco y protegido de la luz solar","Proteína Cruda: 50% mín.; Grasa Cruda: 14% mín.; Fibra Cruda: 3% máx.; Ceniza Total: 6% máx.; Humedad: 6% máx.","microparticulados; camarones; acuicultura; prilabsa; alimentos","2025-07-19T17:20:19.681410"
"25","25","AL014","ADVANCE FEED","alimentos","Especializados","advance-feed","/assets/images/productos/alimentos/AL014.png","/assets/pdfs/productos/alimentos/AL014_ficha.pdf","Dieta balanceada para larvas de camarón en estadios tempranos.","Dieta balanceada de alta calidad para larvas de camarón (Zoea, Mysis y PL) formulada científicamente para optimizar el desarrollo, salud y supervivencia en estadios tempranos. También es apta para larvas de peces.","PRILABSA","InStock","false","alimentos; acuicultura; prilabsa; especializados","Alta flotabilidad y estabilidad en el agua, ideal para mantener la dieta suspendida y facilitar el consumo; Mejora la salud digestiva y aporta una coloración oscura prolongada en el hepatopáncreas e intestino; Favorece el crecimiento, vitalidad y supervivencia larval","Fundas de 3 kg; Almacenar en un lugar fresco, seco, bien ventilado, protegido de la luz solar","Proteína Cruda: 50% mín.; Grasa Cruda: 9% mín.; Fibra Cruda: 3% máx.; Ceniza Total: 8% máx.; Humedad: 5% máx.","especializados; camarones; acuicultura; prilabsa; alimentos","2025-07-19T17:20:19.681410"
