codigo,categoria,categoria_wp_id,has_translation,nombre_es,nombre_en,nombre_pt,descripcion_corta_es,descripcion_corta_en,descripcion_corta_pt
AD012,aditivos,3,true,"Vitamina C Monofosfatada","Monophosphated Vitamin C","Vitamina C Monofosfatada","Vitamina C estabilizada (L-Ácido Ascórbico al 35%) en forma monofosfatada, diseñada para resistir altas temperaturas y proteger su actividad biológ...","Stabilized Vitamin C (L-Ascorbic Acid 35%) in monophosphated form, designed to resist high temperatures and protect its biological activity during ...","Vitamina C estabilizada (Ácido L-Ascórbico 35%) em forma monofosfatada, projetada para resistir a altas temperaturas e proteger sua atividade bioló..."
AL001,alimentos,4,true,"Advance Feed","Advance Feed","Advance Feed","Dieta balanceada de alta calidad para larvas de camarón (Zoea, Mysis y PL) formulada científicamente para optimizar el desarrollo, salud y superviv...","High-quality balanced diet for shrimp larvae (Zoea, Mysis and PL) scientifically formulated to optimize development, health and survival in early s...","Dieta balanceada de alta qualidade para larvas de camarão (Zoea, Mysis e PL) formulada cientificamente para otimizar o desenvolvimento, saúde e sob..."
AL002,alimentos,4,true,"Artemia Adulta Congelada","Frozen Adult Artemia","Artêmia Adulta Congelada","La biomasa de artemia adulta enriquecida y congelada (Artemia Frozen), está lista para ser utilizada en los laboratorios de producción de nauplios ...","Enriched and frozen adult artemia biomass (Artemia Frozen), ready to be used in shrimp nauplii and postlarvae production laboratories. Contains 100...","A biomassa de artêmia adulta enriquecida e congelada (Artemia Frozen), está pronta para ser utilizada nos laboratórios de produção de náuplios e pó..."
AL003,alimentos,4,true,"Brine Shrimp Flake","Brine Shrimp Flake","Brine Shrimp Flake","Dieta en hojuelas desarrollada en EE. UU., diseñada para complementar alimentos naturales y otras dietas larvales. Elaborada con ingredientes natur...","Flake diet developed in the USA, designed to complement natural foods and other larval diets. Made with high-quality natural ingredients, including...","Dieta em flocos desenvolvida nos EUA, projetada para complementar alimentos naturais e outras dietas larvais. Elaborada com ingredientes naturais d..."
AL004,alimentos,4,true,"Calamares","Squid","Lulas","La alimentación es de fundamental importancia en el proceso de maduración y reproducción.  Dentro de los compuestos fundamentales en la dieta se en...","Feeding is of fundamental importance in the maturation and reproduction process. Among the fundamental compounds in the diet are linolenic acid ser...","A alimentação é de fundamental importância no processo de maturação e reprodução. Entre os compostos fundamentais na dieta encontram-se os ácidos g..."
AL005,alimentos,4,true,"Cistos de Artemia","Artemia Cysts","Cistos de Artêmia","Quistes de Artemia franciscana cosechados en el Gran Lago Salado de Utah, EE.UU., con altos estándares de calidad y tecnología de procesamiento. Pu...","Artemia franciscana cysts harvested from the Great Salt Lake of Utah, USA, with high quality standards and processing technology. Can be used hydra...","Cistos de Artemia franciscana colhidos no Grande Lago Salgado de Utah, EUA, com altos padrões de qualidade e tecnologia de processamento. Podem ser..."
AL006,alimentos,4,true,"Espirulina","Spirulina","Espirulina","La Espirulina Mackay Marine es una microalga azul verdosa comestible (Arthrospira platensis), cultivada y procesada en EE.UU. Se presenta en forma ...","Mackay Marine Spirulina is an edible blue-green microalgae (Arthrospira platensis), cultivated and processed in the USA. It comes in fine powder fo...","A Espirulina Mackay Marine é uma microalga azul-esverdeada comestível (Arthrospira platensis), cultivada e processada nos EUA. Apresenta-se em form..."
AL007,alimentos,4,true,"EZ Artemia (Microencapsulados)","EZ Artemia (Microencapsulated)","EZ Artemia (Microencapsulado)","Dieta líquida microencapsulada formulada por Zeigler Bros. Inc. (EE. UU.) como un sustituto balanceado y bioseguro de los nauplios de Artemia. Dise...","Microencapsulated liquid diet formulated by Zeigler Bros. Inc. (USA) as a balanced and biosecure substitute for Artemia nauplii. Designed to provid...","Dieta líquida microencapsulada formulada pela Zeigler Bros. Inc. (EUA) como substituto balanceado e biosseguro dos náuplios de Artemia. Projetada p..."
AL008,alimentos,4,true,"EZ Artemia Ultra (Microencapsulados)","EZ Artemia Ultra (Microencapsulated)","EZ Artemia Ultra (Microencapsulado)","Dieta líquida microencapsulada de nueva generación, formulada en EE. UU. para superar el perfil nutricional de la Artemia enriquecida. EZ Artemia U...","Next-generation microencapsulated liquid diet, formulated in the USA to surpass the nutritional profile of enriched Artemia. EZ Artemia Ultra offer...","Dieta líquida microencapsulada de nova geração, formulada nos EUA para superar o perfil nutricional da Artemia enriquecida. EZ Artemia Ultra oferec..."
AL009,alimentos,4,true,"EZ Larva (Microencapsulados)","EZ Larva (Microencapsulated)","EZ Larva (Microencapsulado)","Dieta líquida microencapsulada desarrollada por Zeigler Bros. Inc. (EE. UU.) para larvas de camarón. Formulada como una ración balanceada, con part...","Microencapsulated liquid diet developed by Zeigler Bros. Inc. (USA) for shrimp larvae. Formulated as a balanced ration, with soft and moist particl...","Dieta líquida microencapsulada desenvolvida pela Zeigler Bros. Inc. (EUA) para larvas de camarão. Formulada como ração balanceada, com partículas s..."
AL010,alimentos,4,true,"EZ Mate","EZ Mate","EZ Mate","Dieta en polvo para maduración de camarones elaborada por Zeigler Bros. Inc. (EE. UU.), diseñada para estimular una mayor eficiencia reproductiva e...","Powder diet for shrimp maturation manufactured by Zeigler Bros. Inc. (USA), designed to stimulate greater reproductive efficiency in maturation sys...","Dieta em pó para maturação de camarões elaborada pela Zeigler Bros. Inc. (EUA), projetada para estimular maior eficiência reprodutiva em sistemas d..."
AL011,alimentos,4,true,"Flake Negro de Artemia","Artemia Black Flake","Flake Negro de Artemia","Dieta premium en hojuelas formulada para el óptimo desarrollo y sobrevivencia de larvas de camarón, especialmente eficaz durante los estadios de My...","Premium flake diet formulated for optimal development and survival of shrimp larvee, especially effective during Mysis and Postlarva (PL) stages. C...","Dieta premium em flocos formulada para o desenvolvimento ótimo e sobrevivência de larvas de camarão, especialmente eficaz durante os estágios de My..."
AL012,alimentos,4,true,"Gold Feed (Microparticulados)","Gold Feed (Microparticulated)","Gold Feed (Microparticulado)","Alimento microparticulado premium formulado especialmente para larvas de camarón en estadios de Mysis y Postlarva (PL). Su composición con ingredie...","Premium microparticulated feed specially formulated for shrimp larvae in Mysis and Postlarva (PL) stages. Its composition with high-quality marine ...","Alimento microparticulado premium formulado especialmente para larvas de camarão em estágios de Mysis e Pós-larva (PL). Sua composição com ingredie..."
AL013,alimentos,4,true,"Krill Congelado","Frozen Krill","Krill Congelado","El Krill (FRESH FROZEN KRILL – ANTARTIC KRILL) procesado en Canadá y capturado en el Océano Austral, es un alimento ampliamente utilizado en la acu...","Krill processed in Canada and caught in the Southern Ocean, is a food widely used in aquaculture, in fish and shrimp farming, mainly in the maturat...","O Krill processado no Canadá e capturado no Oceano Austral, é um alimento amplamente utilizado na aquicultura, em cultivos de peixes e camarões, pr..."
AL014,alimentos,4,true,"Larva AP 100 (Microparticulados)","Larva AP 100 (Microparticulates)","Larva AP 100 (Microparticulados)","Dieta granulada e hidroestable en micropartículas finas, científicamente formulada por Zeigler Bros. Inc. (EE. UU.) para la alimentación de camaron...","Fine microparticle granulated and water-stable diet, scientifically formulated by Zeigler Bros. Inc. (USA) for feeding shrimp in larval and postlar...","Dieta granulada e hidroestável em micropartículas finas, cientificamente formulada pela Zeigler Bros. Inc. (EUA) para alimentação de camarões em es..."
AL015,alimentos,4,true,"Larva Z - Plus (Microparticulados)","Larva Z - Plus (Microparticulated)","Larva Z - Plus (Microparticulado)","Dieta especializada para larvas y postlarvas de camarón desarrollada por Zeigler Bros. Inc. (EE. UU.). Su formulación balanceada incluye ingredient...","Specialized diet for shrimp larvae and postlarvae developed by Zeigler Bros. Inc. (USA). Its balanced formulation includes high-quality ingredients...","Dieta especializada para larvas e pós-larvas de camarão desenvolvida pela Zeigler Bros. Inc. (EUA). Sua formulação balanceada inclui ingredientes d..."
AL016,alimentos,4,true,"Mejillones","Mussels","Mexilhões","Dentro de los compuestos fundamentales en la dieta se encuentran los ácidos grasos de la serie linolénica (w3, de origen marino), colesterol y sus ...","Mollusks like mussels can supply up to 94.6 kcal from consumption of Omega-3 fatty acids EPA and DHA, both as the most suitable nutritional source ...","Moluscos como mexilhões podem fornecer até 94,6 kcal a partir do consumo de ácidos graxos Ômega-3 EPA e DHA, ambos como fonte nutricional mais adeq..."
AL017,alimentos,4,true,"MPs (Microparticulados)","MPs (Microparticulated)","MPs (Microparticulado)","Alimento microparticulado de alta calidad para larvas de camarón y peces. Su formulación nutricional completa, con excelente estabilidad y flotabil...","High-quality microparticulated feed for shrimp and fish larvae. Its complete nutritional formulation, with excellent stability and buoyancy, is des...","Alimento microparticulado de alta qualidade para larvas de camarão e peixes. Sua formulação nutricional completa, com excelente estabilidade e flut..."
AL018,alimentos,4,true,"P. Vannamei Microparticulado","P. Vannamei Microparticulated","P. Vannamei Microparticulado","P. vannamei Microparticulado es una dieta balanceada diseñada por Higashimaru Co., Ltd. para el cultivo en laboratorio de larvas de camarón Litopen...","P. vannamei Microparticulated is a balanced diet designed by Higashimaru Co., Ltd. for laboratory culture of Litopenaeus vannamei shrimp larvae. Th...","P. vannamei Microparticulado é uma dieta balanceada projetada pela Higashimaru Co., Ltd. para cultivo em laboratório de larvas de camarão Litopenae..."
AL019,alimentos,4,true,"Pre-Mix PL Raceway 40-9","Pre-Mix PL Raceway 40-9","Pre-Mix PL Raceway 40-9","Mini pellet formulado especialmente para post-larvas de camarón Penaeus vannamei durante su transición de criaderos controlados a estanques o pisci...","Mini pellet specially formulated for Penaeus vannamei shrimp post-larvae during their transition from controlled nurseries to ponds or pools with l...","Mini pellet formulado especialmente para pós-larvas de camarão Penaeus vannamei durante sua transição de criatórios controlados para tanques ou pis..."
AL020,alimentos,4,true,"Redi-Mate","Redi-Mate","Redi-Mate","Redi-Mate es una dieta semi-húmeda de alta calidad, especialmente formulada para la maduración de camarones peneidos. Mejora significativamente los...","Redi-Mate is a high-quality semi-moist diet, specially formulated for peneid shrimp maturation. Significantly improves reproductive indices, increa...","Redi-Mate é uma dieta semi-úmida de alta qualidade, especialmente formulada para maturação de camarões peneídeos. Melhora significativamente os índ..."
AL021,alimentos,4,true,"Shrimp Meal Starter 55-15","Shrimp Meal Starter 55-15","Shrimp Meal Starter 55-15","Dieta desarrollada por Zeigler Bros. Inc. (EE. UU.) para raceways y pre-cría de camarones. Se trata de un alimento altamente nutricional, diseñado ...","Diet developed by Zeigler Bros. Inc. (USA) for raceways and shrimp pre-nursery. It is a highly nutritional feed, designed to favor rapid growth and...","Dieta desenvolvida pela Zeigler Bros. Inc. (EUA) para raceways e pré-cria de camarões. Trata-se de um alimento altamente nutricional, projetado par..."
AL022,alimentos,4,true,"Z Pro (Microparticulados)","Z Pro (Microparticulated)","Z Pro (Microparticulado)","Dieta premium desarrollada por Zeigler Bros. Inc. (EE. UU.), formulada específicamente para la alimentación de camarones desde la fase Zoea (Z) has...","Premium diet developed by Zeigler Bros. Inc. (USA), specifically formulated for feeding shrimp from Zoea (Z) to Postlarval (PL) phase. Designed to ...","Dieta premium desenvolvida pela Zeigler Bros. Inc. (EUA), formulada especificamente para alimentação de camarões desde a fase Zoea (Z) até Pós-larv..."
AL023,alimentos,4,true,"ZM Feed para Zoea / Mysis","ZM Feed for Zoea / Mysis","ZM Feed para Zoea / Mysis","ZM FEED es una dieta microparticulada especialmente formulada para la alimentación de larvas de camarón en las etapas Zoea y Mysis, diseñada para s...","ZM FEED is a microparticulated diet specially formulated for feeding shrimp larvae in Zoea and Mysis stages, designed for application in laboratory...","ZM FEED é uma dieta microparticulada especialmente formulada para alimentação de larvas de camarão nos estágios Zoea e Mysis, projetada para aplica..."
EQ001,equipos,5,true,"Ammo Lock","Ammo Lock","Ammo Lock","El amonio es un compuesto tóxico para los cultivos acuícolas porque ocasiona: Daños severos en las branquias, problemas en la osmorregulación, desg...","Ammonia is a toxic compound for aquaculture crops because it causes: Severe damage to gills, osmoregulation problems, tissue wear, decreased growth...","A amônia é um composto tóxico para cultivos aquícolas porque causa: Danos severos nas brânquias, problemas na osmorregulação, desgaste nos tecidos,..."
EQ002,equipos,5,true,"Balanzas Ohaus","Ohaus Scales","Balanças Ohaus","Balanzas OHAUS de diferentes dimensiones y capacidades bajo pedido.","OHAUS scales of different dimensions and capacities on request.","Balanças OHAUS de diferentes dimensões e capacidades sob encomenda."
EQ003,equipos,5,true,"Blowers All Star","All Star Blowers","Sopradores All Star","","High efficiency blowers for aquaculture applications.","Sopradores de alta eficiência para aplicações aquícolas."
EQ004,equipos,5,true,"Blowers Gast","Gast Blowers","Sopradores Gast","Modelos con motor estándar.","Models with standard motor.","Modelos com motor padrão."
EQ005,equipos,5,true,"Bolso Filtrantes de Polipropileno","Filter Bags Polypropylene","Sacos Filtrantes de Polipropileno","El proceso de líquidos con bolsas filtrantes funciona como un filtro de profundidad y es muy recomendable para filtrar líquidos con un gran número ...","Liquid processing with filter bags works as a depth filter and is highly recommended for filtering liquids with a large number of solid or gelatino...","O processamento de líquidos com sacos filtrantes funciona como filtro de profundidade e é altamente recomendável para filtrar líquidos com grande n..."
EQ006,equipos,5,true,"Cámara Neubauer","Pleated Cartridge Filter","Filtro de Cartucho Plissado","Cámara de Neubauer o hemocitómetro es un instrumento para realizar el recuento de esporas y células en un medio líquido.","Pleated cartridge filters are designed for high-efficiency filtration in aquaculture water systems. Their pleated design maximizes filtration surfa...","Os filtros de cartucho plissado são projetados para filtração de alta eficiência em sistemas de água para aquicultura. Seu design plissado maximiza..."
EQ007,equipos,5,true,"Cámara Sedgewick","Diffuser Aeration System","Sistema de Aeração por Difusores","Cámara de recuento Sedgewick Rafter para contar partículas y microorganismos en 1 ml de agua u otros líquidos transparentes.","Complete diffuser aeration system designed specifically for shrimp ponds and aquaculture systems. Includes high-efficiency diffusers that generate ...","Sistema completo de aeração por difusores projetado especificamente para viveiros de camarão e sistemas aquícolas. Inclui difusores de alta eficiên..."
EQ008,equipos,5,true,"Chemetrics Kit de Alcalinidad Total","Saltwater Centrifugal Pump","Bomba Centrífuga de Água Salgada","Las pruebas de alcalinidad total de CHEMETRICS determinan el total usando un valorante de ácido clorhídrico y un indicador verde de bromocresol/roj...","Specialized centrifugal pump for saltwater handling in aquaculture systems. Built with corrosion-resistant materials to ensure lasting performance ...","Bomba centrífuga especializada para manuseio de água salgada em sistemas aquícolas. Construída com materiais resistentes à corrosão para garantir d..."
EQ009,equipos,5,true,"Chemetrics Kit de Amonio","Digital Dissolved Oxygen Meter","Medidor de Oxigênio Dissolvido Digital","Kit de Amonio Chemetrics, permite realizar pruebas para determinar concentraciones de amoníaco, son aplicables para acuarios, piscinas camaroneras,...","High-precision digital meter for dissolved oxygen monitoring in aquaculture systems. Equipped with fast-response electrochemical sensor and easy-to...","Medidor digital de alta precisão para monitoramento de oxigênio dissolvido em sistemas aquícolas. Equipado com sensor eletroquímico de resposta ráp..."
EQ010,equipos,5,true,"Chemetrics Kit de Dióxido de Carbono","UV-C Sterilization Filter","Filtro UV-C para Esterilização","El dióxido de carbono (CO2) disuelto está presente de forma natural como resultado de la respiración animal, la descomposición de la materia orgáni...","UV-C ultraviolet light sterilization system designed to eliminate bacteria, viruses and pathogenic microorganisms in aquaculture systems. UV-C tech...","Sistema de esterilização por luz ultravioleta UV-C projetado para eliminar bactérias, vírus e microorganismos patogênicos em sistemas aquícolas. A ..."
EQ011,equipos,5,true,"Chemetrics Kit de Dureza","Protein Skimmer for Aquaculture","Skimmer de Proteínas para Aquicultura","La dureza es una medida del contenido mineral del agua. El calcio y el magnesio son los minerales más comunes que contribuyen a la dureza. El métod...","Specialized protein skimmer for recirculating aquaculture systems (RAS). Uses air injection foaming technology to remove dissolved organic compound...","Skimmer de proteínas especializado para sistemas de recirculação em aquicultura (RAS). Utiliza tecnologia de espumação por injeção de ar para remov..."
EQ012,equipos,5,true,"Chemetrics Kit de Fosfato","RAS Biofiltration System","Sistema de Biofiltração RAS","El kit de prueba para fosfato emplea la química del cloruro de estaño. En una solución acídica, el ortofosfato reacciona con el molibdato de amonio...","Complete biofiltration system for recirculating aquaculture systems (RAS). Includes moving bed biofilters (MBBR) with high specific surface filtrat...","Sistema completo de biofiltração para sistemas de recirculação aquícola (RAS). Inclui biofiltros de leito móvel (MBBR) com meios de filtração de al..."
EQ013,equipos,5,true,"Chemetrics Kit de Hierro","Multi-parameter Water Meter","Medidor Multiparâmetro de Água","El método de análisis de hierro emplea la química de la fenantrolina. El hierro ferroso reacciona con fenantrolina para formar un complejo de color...","Advanced digital meter capable of measuring multiple critical water parameters simultaneously. Includes sensors for pH, dissolved oxygen, conductiv...","Medidor digital avançado capaz de medir múltiplos parâmetros críticos da água simultaneamente. Inclui sensores para pH, oxigênio dissolvido, condut..."
EQ014,equipos,5,true,"Chemetrics Kit de Nitrato","Automated Sand and Gravel Filter","Filtro de Areia e Cascalho Automatizado","El kit de prueba para nitrato emplea el método de reducción de cadmio. El nitrato se reduce a nitrito en presencia de cadmio. En una solución acídi...","Automated mechanical filtration system with multi-layer sand and gravel media. Designed for efficient removal of suspended solids in aquaculture sy...","Sistema de filtração mecânica automatizado com meios de areia e cascalho de múltiplas camadas. Projetado para remoção eficiente de sólidos suspenso..."
EQ015,equipos,5,true,"Chemetrics Kit de Nitrito","Ozone Generator for Aquaculture","Gerador de Ozônio para Aquicultura","El kit de prueba para nitrito CHEMets emplea el método de formación de tinte. En una solución acídica, el nitrito diazotiza con una amina aromática...","Aquaculture-grade ozone generator designed for advanced disinfection and water quality improvement. Uses corona discharge technology to produce hig...","Gerador de ozônio de grau aquícola projetado para desinfecção avançada e melhoria da qualidade da água. Utiliza tecnologia de descarga corona para ..."
EQ016,equipos,5,true,"Chemetrics Kit de Peróxido de Hidrógeno","High Pressure Blower for Aeration","Soprador de Alta Pressão para Aeração","Este kit de valoración de peróxido de hidrógeno viene en una caja de cartón y contiene todo lo necesario para realizar 30 pruebas: treinta ampollas...","High-pressure centrifugal blower specially designed for aeration systems in aquaculture. Provides constant airflow and stable pressure to feed diff...","Soprador centrífugo de alta pressão especialmente projetado para sistemas de aeração em aquicultura. Proporciona fluxo de ar constante e pressão es..."
EQ017,equipos,5,true,"Chemetrics Kit de Sulfito","Automatic Aquaculture Control System","Sistema de Controle Automático de Cultivo","Los kits de prueba para sulfito emplean la químíca yodométrica. En una solución acídica, el sulfito se titula con un titulador de yoduro-yodato y u...","Comprehensive automated control and monitoring system for aquaculture farms. Includes multiple sensors, programmable controllers and management sof...","Sistema de controle e monitoramento automatizado integral para fazendas aquícolas. Inclui sensores múltiplos, controladores programáveis e software..."
EQ018,equipos,5,true,"Cinta Industrial Prime","Digital Chemical Dosing Pump","Bomba Dosadora Química Digital","La cinta industrial de color negro es fabricado con material sensible a la presión y contiene adhesivos de alta calidad, siendo ideal para las repa...","Precision dosing pump with digital control for exact chemical application in aquaculture systems. Ideal for dosing probiotics, disinfectants, pH co...","Bomba dosadora de precisão com controle digital para aplicação exata de químicos em sistemas aquícolas. Ideal para dosagem de probióticos, desinfet..."
EQ019,equipos,5,true,"Freshwater","Programmable Automatic Feeder","Alimentador Automático Programável","Kit multiparámetros, rápido y fácil de usar.","High-precision automated feeding system for aquaculture. Allows programming multiple feeding schedules with exact quantities. Includes feed detecti...","Sistema de alimentação automatizado de alta precisão para aquicultura. Permite programar múltiplos horários de alimentação com quantidades exatas. ..."
EQ020,equipos,5,true,"Kits API Calcio","Water Clarifier by Sedimentation","Clarificador de Água por Sedimentação","El calcio es uno de los elementos más importantes en un acuario de arrecife. Los invertebrados de los arrecifes, como los corales, crustáceos, molu...","Sedimentation clarification system for removal of suspended solids and turbidity in aquaculture effluents. Uses gravitational sedimentation and flo...","Sistema de clarificação por sedimentação para remoção de sólidos suspensos e turbidez em efluentes aquícolas. Utiliza princípios de sedimentação gr..."
EQ021,equipos,5,true,"Kits API de pH","Precision Digital Thermometer","Termômetro Digital de Precisão","El KIT DE PRUEBA DE pH DE RANGO ALTO API mide los cambios de pH en acuarios marinos, acuarios con cíclidos africanos y agua del grifo muy alcalina.","High-precision digital thermometer specifically calibrated for aquaculture applications. Equipped with fast-response submersible probe and easy-to-...","Termômetro digital de alta precisão especificamente calibrado para aplicações aquícolas. Equipado com sonda submersível de resposta rápida e displa..."
EQ022,equipos,5,true,"Kits API Dureza de Carbono","Digital Refractometer for Salinity","Refratômetro Digital para Salinidade","","Precision digital refractometer for exact salinity measurement in marine aquaculture systems. Advanced digital technology with automatic temperatur...","Refratômetro digital de precisão para medição exata de salinidade em sistemas aquícolas marinhos. Tecnologia digital avançada com compensação autom..."
EQ023,equipos,5,true,"Kits API Fosfato","Portable Digital Turbidimeter","Turbidímetro Portátil Digital","El fosfato puede ingresar a su acuario a través del agua del grifo, desechos de peces y sustancias orgánicas en descomposición, como alimentos no c...","Portable digital turbidimeter for precise turbidity measurement in aquaculture systems. Uses 90° light scattering technology according to EPA and I...","Turbidímetro digital portátil para medição precisa de turbidez em sistemas aquícolas. Utiliza tecnologia de dispersão de luz a 90° segundo padrões ..."
EQ024,equipos,5,true,"Kits API Amonio","Digital Ammonia Analyzer","Analisador de Amônia Digital","El kit de prueba de amoníaco API® mide el amoníaco para ayudar a prevenir la pérdida de peces, ya que el amoníaco es el principal factor estresante...","Specialized digital analyzer for direct measurement of total ammonia in aquaculture systems. Uses ion-selective electrode technology for fast and a...","Analisador digital especializado para medição direta de amônia total em sistemas aquícolas. Utiliza tecnologia de eletrodo íon-seletivo para mediçõ..."
EQ025,equipos,5,true,"Kits API Nitrato","Electrical Conductivity Meter","Medidor de Condutividade Elétrica","Los altos niveles de nitrato en su acuario indican una acumulación de desechos de pescado y compuestos orgánicos, lo que resulta en una calidad del...","Digital electrical conductivity meter for monitoring dissolved salt concentration in aquaculture systems. Includes automatic temperature compensati...","Medidor digital de condutividade elétrica para monitoramento da concentração de sais dissolvidos em sistemas aquícolas. Inclui compensação automáti..."
EQ026,equipos,5,true,"Kits API Nitrito","Microscope for Plankton Analysis","Microscópio para Análise de Plâncton","El nitrito se produce en el acuario en forma de desechos de pescado, alimentos no consumidos y bacterias nitrificantes en el ciclo natural de su ac...","Specialized biological microscope for analysis of phytoplankton, zooplankton and microorganisms in aquaculture systems. Equipped with high-resoluti...","Microscópio biológico especializado para análise de fitoplâncton, zooplâncton e microorganismos em sistemas aquícolas. Equipado com objetivas de al..."
EQ027,equipos,5,true,"Malla Marines Roja","Water Quality Analysis Kit","Kit de Análise de Qualidade da Água","Malla técnica de alto rendimiento elaborada con 100% poliéster texturizado, teñida por agotamiento, de color rojo. Ideal para aplicaciones en acuic...","Complete chemical analysis kit for comprehensive water quality evaluation in aquaculture systems. Includes reagents and materials for analysis of c...","Kit completo de análise química para avaliação integral de qualidade da água em sistemas aquícolas. Inclui reagentes e materiais para análise de pa..."
